FIPS,FIPS_2,State,Jurisdiction,EAVS Registered Voters Total,EAVS_2016_Voters_Removed_Total,EAVS_2016_Voters_Removed_Other,DD_EAVS_2016_Voters_Removed_Other_Percent_By_Total_Registration,EAVS_Ballots_Absentee_Provisional_Ballots_Total,EAVS_Ballots_Absentee_Provisional_Total_Not_Counted,EAVS_Ballots_Absentee_Provisional_Total_Not_Counted_Other 
2000,2,AK,ALASKA,587303,44567,0,0,47448,1147,295
1001,1,AL,AUTAUGA COUNTY,38187,3901,0,0,1413,116,0
1003,1,AL,BALDWIN COUNTY,146824,4530,0,0,5207,639,0
1005,1,AL,BARBOUR COUNTY,17102,730,0,0,683,0,0
1007,1,AL,BIBB COUNTY,13510,1466,0,0,262,21,0
1009,1,AL,BLOUNT COUNTY,37718,1275,0,0,756,3,0
1011,1,AL,BULLOCK COUNTY,7424,279,0,0,336,13,0
1013,1,AL,BUTLER COUNTY,13805,604,0,0,255,13,0
1015,1,AL,CALHOUN COUNTY,74433,2898,0,0,1527,126,0
1017,1,AL,CHAMBERS COUNTY,24020,1063,0,0,582,45,0
1019,1,AL,CHEROKEE COUNTY,16970,713,0,0,488,39,0
1021,1,AL,CHILTON COUNTY,28579,1237,0,0,938,25,0
1023,1,AL,CHOCTAW COUNTY,10990,545,0,0,380,2,0
1025,1,AL,CLARKE COUNTY,19400,758,0,0,638,0,0
1027,1,AL,CLAY COUNTY,10204,528,0,0,358,0,0
1029,1,AL,CLEBURNE COUNTY,10845,403,0,0,262,0,0
1031,1,AL,COFFEE COUNTY,33524,1298,0,0,1169,55,0
1033,1,AL,COLBERT COUNTY,38334,1329,0,0,1004,59,0
1035,1,AL,CONECUH COUNTY,10488,516,0,0,328,4,0
1037,1,AL,COOSA COUNTY,8123,343,0,0,170,0,0
1039,1,AL,COVINGTON COUNTY,25347,1019,0,0,732,0,0
1041,1,AL,CRENSHAW COUNTY,9958,361,0,0,209,3,0
1043,1,AL,CULLMAN COUNTY,55908,2235,0,0,1411,95,0
1045,1,AL,DALE COUNTY,31420,1340,0,0,863,35,0
1047,1,AL,DALLAS COUNTY,32530,1229,0,0,879,22,0
1049,1,AL,DEKALB COUNTY,40824,1455,0,0,993,58,0
1051,1,AL,ELMORE COUNTY,54061,1386,0,0,1384,0,0
1053,1,AL,ESCAMBIA COUNTY,24374,1058,0,0,560,0,0
1055,1,AL,ETOWAH COUNTY,69355,2658,0,0,1764,208,0
1057,1,AL,FAYETTE COUNTY,12155,476,0,0,251,8,0
1059,1,AL,FRANKLIN COUNTY,19001,1172,0,0,978,5,0
