FIPS_State,State,Senate_Toss_Up,Total_Pop_2016,CVAP_2016,VEP_2016,EAVS_Registered_Voters_Total,Atlas_Total_Ballots_Cast_Est_2016,McD_Total_Ballots_Cast_Est_2016,DD_Percentage_Ballots_by_EAVS_Reg_2016,DD_Percentage_Ballots_by_VEP_2016,VEP_2018,RU_Target_VRS_2016,2018_HAVA_Total_Award,2018_HAVA_Total_Award_Rank,2018_HAVA_Csecurity_Amount,DD_Percent_2018_HAVA_Csecurity,Number_Counties,DD_2018_County_Average_HAVA_Csecurity_Funds,DD_2018_County_Average_HAVA_Csecurity_Funds_Quartile,CAP_Grade,CAP_VR_Score,Pew_E_Pollbooks,NCSL_Online_Registration,NCSL_Audit_Composite,NCSL_Absentee,NCSL_Early_Voting,NCSL_VoterIDrequirements,NCSL_Registration_Innovation,NCSL_Internet_Voting,EAVS_Internet_Ballots_2106,VAS_Score,DD_VAS_bin,EPI_2016,EPI_rank_2016,DD_EPI_Bin,EAVS_2016_Voters_Removed_Total,EAVS_2016_Voters_Removed_Other,DD_EAVS_2016_Voters_Removed_Other_Percent_By_Total_Registration,EAVS_Ballots_Absentee_Provisional_Ballots_Total,EAVS_Ballots_Absentee_Provisional_Total_Not_Counted,EAVS_Ballots_Absentee_Provisional_Total_Not_Counted_Other,Voting_Machine_Wireless_Modem,COVI_Score,COVI_Rank,DD_COVI_Bin,ITIF_Security_Combined,DHS_Security_Assessment,Forson_Election_Cyber_Security_Guidance_Published,Forson_Election_Security_Contingency_Plan_Stated
1,Alabama,N,3717000,3651000,3609447,3333946,2123372,2123372,64%,59%,3641209,Y,6468413,2,2360393,36%,67,35230,3,C,1,P,Y,NotRequiredAsPaper,ExcuseRequired,N,N ,,N,1016,50,C,0.65816289,46,C,116434,0,0.00%,54599,1862,881,N,0.617,39,C,55,N,Y,N
2,Alaska,N,518000,502000,522679,587303,318608,318608,54%,61%,521777,Y,3150000,4,0,0%,25,0,0,B,1,N,Y,RequiredPaper,NoExcuse,Y,N ,,UOCAVA,5057,18,B,0.77914184,17,B,44567,0,0.00%,90544,6133,64,N,-0.045,23,C,78,N,Y,N
4,Arizona,T,5196000,4585000,4740310,4080680,2604657,2604657,64%,55%,4910625,Y,7836859,2,2756523,35%,15,183768,4,D,3,P,Y,NotRequiredAsPaper,Permanent,Y,NonPhotoID,,UOCAVA,8830,14,B,0.7120325,35,C,386813,13748,0.34%,29704,5040,647,N,0.536,36,A,93,Y,Y,Y
5,Arkansas,N,2216000,2116000,2140097,1765513,1130635,1130635,64%,53%,2171940,N,4698766,3,0,0%,75,0,0,F,4,P,N,NotRequiredAsPaper,ExcuseRequired,Y,N ,,N,E,42,C,0.64595127,47,C,154326,9777,0.55%,2045352,19812,7557,N,0.51,34,A,93,N,N,N
6,California,N,29894000,24890000,25104844,24486638,14237884,14181595,58%,56%,25635139,Y,36286818,1,7564000,21%,58,130414,4,C,2,P,Y,RequiredPaper,Permanent,Y,N ,Automatic,UOCAVA,17009,6,A,0.62319618,49,C,1135742,501097,2.05%,9613148,254090,36591,N,-1.3,3,A,93,N,Y,Y
8,Colorado,N,4242000,3895000,3974405,3840303,2780247,2780247,72%,70%,4103903,Y,6660128,2,2845280,43%,63,45163,3,B,2,A,Y,RequiredPaperStatistical,AllMail,AllMail,N ,SameDay,UOCAVA-Limited,13172,7,A,0.76361072,23,B,261836,2425,0.06%,2658987,25106,4,N,-1.46,2,A,93,Y,Y,Y
9,Connecticut,N,2759000,2483000,2582761,2331684,1644920,1644920,71%,64%,2614176,Y,5376582,3,2139554,40%,8,267444,4,B,2,P,Y,NotRequiredAsPaper,ExcuseRequired,N,N ,SameDay,N,N,18,B,0.80430448,10,A,74770,0,0.00%,134763,2664,0,N,-0.336,15,C,55,Y,Y,Y
10,Delaware,N,729000,669000,691720,675663,443814,443814,66%,64%,710434,Y,3150000,4,0,0%,3,0,0,D,1,N,Y,Paperless,ExcuseRequired,N,N ,,UOCAVA,Unreported,26,C,0.84305668,4,A,46351,9,0.00%,22771,1667,0,N,0.039,25,B,91,Y,Y,N
11,District of Columbia,N,553000,512000,515248,493287,311268,311268,63%,60%,529198,N,3150000,4,450000,14%,1,450000,4,B,2,P,Y,RequiredPaper,Permanent,Y,N ,SameDay,UOCAVA,2913,1,A,0.81519681,7,A,83519,0,0.00%,15442,556,1,N,,, ,,U,N,N
12,Florida,T,16202000,14428000,14601066,13505571,9502955,9420039,70%,65%,15140654,Y,20146353,1,10000000,50%,67,149254,4,F,4,P,Y,NotRequiredAsPaper,NoExcuse,Y,N ,,UOCAVA,0,47,C,0.72517055,31,B,771949,3807,0.03%,2749441,38095,8063,Y,0.407,32,C,78,N,Y,Y
13,Georgia,N,7626000,7048000,6959963,6657621,4141445,4114732,62%,59%,7178075,N,10821072,1,4410536,41%,159,27739,3,D,2,A,Y,Paperless,NoExcuse,Y,PhotoID,,N,N,32,C,0.71643198,34,C,732791,24114,0.36%,219380,23926,11879,N,0.527,35,C,85,N,Y,N
15,Hawaii,N,1064000,974000,1012860,751483,428937,428937,57%,42%,1014363,N,3290784,3,1250000,38%,5,250000,4,D,4,N,Y,RequiredPaper,Permanent,Y,N ,SameDay,UOCAVA-Absentee,226,11,A,0.69451648,38,C,32914,0,0.00%,1608,114,1,N,-0.206,19,A,95,N,Y,Y
16,Idaho,N,1224000,1150000,1166706,936529,690433,690255,74%,59%,1224275,N,3391391,3,581391,17%,44,13213,2,C,2,P,Y,NotRequiredAsPaper,NoExcuse,Y,N ,SameDay,Emergency,Unreported,32,C,0.57644933,51,C,65167,4855,0.52%,191931,2024,29,N,-0.256,17,A,183,N,Y,Y
17,Illinois,N,9723000,8970000,8985443,8843038,5594426,5536424,63%,62%,9017850,Y,13893905,1,13893905,100%,102,136215,4,C,3,P,Y,RequiredPaper,NoExcuse,Y,N ,SameDay,N,N,9,A,0.81338787,8,A,861985,485,0.01%,651891,5136,353,Y,-0.573,12,A,93,Y,Y,N
18,Indiana,T,4988000,4795000,4849937,4839038,2757828,2734958,57%,56%,4923068,N,7974842,2,6798088,85%,92,73892,3,F,4,P,Y,NotRequiredAsPaper,ExcuseRequired,Y,PhotoID,,UOCAVA,6681,43,C,0.7527107,26,B,1026502,5452,0.11%,202778,1258,215,N,0.914,47,C,89,Y,Y,Y
19,Iowa,N,2394000,2292000,2288536,2222380,1566031,1566031,70%,68%,2312204,Y,4838488,3,2309000,48%,99,23323,2,C,4,P,Y,NotRequiredAsPaper,NoExcuse,Y,N ,SameDay,N,N,26,C,0.79255372,15,A,80331,3326,0.15%,406675,18801,70,N,-1.094,5,A,93,Y,Y,Y
20,Kansas,N,2142000,2029000,2054025,1785834,1194755,1184402,66%,58%,2072292,N,4602774,3,2200000,48%,105,20952,2,F,4,P,Y,NotRequiredAsPaper,NoExcuse,Y,PhotoID,,UOCAVA,Unreported,43,C,0.64065289,48,C,128809,592,0.03%,930979,23036,19236,N,0.684,42,C,83,N,N,N
21,Kentucky,N,3348000,3246000,3282420,3306120,1924149,1924149,58%,59%,3319907,N,6062094,2,773423,13%,120,6445,1,D,1,N,Y,NotRequiredAsPaper,ExcuseRequired,N,N ,,N,N,39,C,0.66832715,44,C,158000,0,0.00%,204114,18124,1570,N,0.654,41,A,193,N,Y,Y
